Epoch: [ 1/10] [   0/   2] time: 22.9912, d_loss: 685.80383301, g_loss: 0.00000000
Epoch: [ 1/10] [   1/   2] time: 30.9800, d_loss: 358.03759766, g_loss: 0.00000000
Epoch: [ 2/10] [   0/   2] time: 38.5147, d_loss: 20.06387138, g_loss: 0.00000536
Epoch: [ 2/10] [   1/   2] time: 45.8744, d_loss: 736.11090088, g_loss: 0.00000000
Epoch: [ 3/10] [   0/   2] time: 53.4021, d_loss: 414.27581787, g_loss: 0.00000000
Epoch: [ 3/10] [   1/   2] time: 61.1988, d_loss: 152.72195435, g_loss: 0.00000000
Epoch: [ 4/10] [   0/   2] time: 68.9626, d_loss: 492.62725830, g_loss: 0.00000000
Epoch: [ 4/10] [   1/   2] time: 76.5153, d_loss: 561.14105225, g_loss: 0.00000000
Epoch: [ 5/10] [   0/   2] time: 83.8530, d_loss: 356.81512451, g_loss: 0.00000000
Epoch: [ 5/10] [   1/   2] time: 90.7925, d_loss: 100.39743042, g_loss: 0.00000000
Epoch: [ 6/10] [   0/   2] time: 97.6221, d_loss: 177.41702271, g_loss: 0.00000000
Epoch: [ 6/10] [   1/   2] time: 104.3716, d_loss: 570.53845215, g_loss: 0.00000000
Epoch: [ 7/10] [   0/   2] time: 111.0091, d_loss: 342.92633057, g_loss: 0.00000000
Epoch: [ 7/10] [   1/   2] time: 117.7286, d_loss: 509.49481201, g_loss: 0.00000000
Epoch: [ 8/10] [   0/   2] time: 124.9762, d_loss: 689.84991455, g_loss: 0.00000000
Epoch: [ 8/10] [   1/   2] time: 132.1417, d_loss: 136.62182617, g_loss: 0.00000000
Epoch: [ 9/10] [   0/   2] time: 139.2314, d_loss: 164.44075012, g_loss: 0.00000000
Epoch: [ 9/10] [   1/   2] time: 146.3607, d_loss: 612.81658936, g_loss: 0.00000000
Epoch: [ 0/10] [   0/   2] time: 7.6934, d_loss: 391.88299561, g_loss: 0.00000000
Epoch: [ 0/10] [   1/   2] time: 14.2560, d_loss: 248.30445862, g_loss: 0.00000000
Epoch: [ 0/ 8] [   0/   2] time: 7.6063, d_loss: 415.07943726, g_loss: 0.00000000
Epoch: [ 0/ 8] [   1/   2] time: 14.2860, d_loss: 842.16540527, g_loss: 0.00000000
Epoch: [ 0/ 9] [   0/   2] time: 7.7179, d_loss: 324.41818237, g_loss: 0.00000000
Epoch: [ 0/ 9] [   1/   2] time: 14.3630, d_loss: 1151.33007812, g_loss: 0.00000000
Epoch: [ 1/ 9] [   0/   2] time: 21.2402, d_loss: 620.41070557, g_loss: 0.00000000
Epoch: [ 1/ 9] [   1/   2] time: 28.0319, d_loss: 85.51076508, g_loss: 0.00000000
Epoch: [ 2/ 9] [   0/   2] time: 34.7721, d_loss: 405.10830688, g_loss: 0.00000000
Epoch: [ 0/10] [   0/   2] time: 7.6698, d_loss: 270.99890137, g_loss: 0.00000000
Epoch: [ 0/10] [   1/   2] time: 14.3190, d_loss: 34.89854050, g_loss: 0.00000000
Epoch: [ 1/10] [   0/   2] time: 20.9927, d_loss: 198.14100647, g_loss: 0.00000000
Epoch: [ 0/10] [   0/   2] time: 7.6388, d_loss: 442.72924805, g_loss: 0.00000000
Epoch: [ 0/10] [   1/   2] time: 14.3720, d_loss: 101.85638428, g_loss: 0.00000000
Epoch: [ 0/11] [   0/   2] time: 7.7654, d_loss: 632.23382568, g_loss: 0.00000000
Epoch: [ 0/11] [   1/   2] time: 14.5201, d_loss: 162.37835693, g_loss: 0.00000000
